,showInProfile,allowDataAccess,showByline,showShareOptions,showTabs,showToolbar,showWatermark,warnDataAccess,id,ownerId,firstPublishDate,lastPublishDate,createdAt,lastUpdateDate,size,description,luid,permalink,revision,title,workbookRepoUrl,extractInfo,viewCount,defaultViewName,defaultViewRepoUrl,defaultViewLuid,authorProfileName,authorDisplayName,externalLink,numberOfFavorites,attributions,error.message,error.id,getDate
321,True,True,True,True,False,True,True,False,4955287.0,775932.0,1555966439545.0,1555966439545.0,1555966439548.0,1669154039676.0,18751.0,MakeoverMonday_2019_w17_Stephen Curry's Stadium Popcorn Rankings,ebbed4d0-7a6b-4874-84f6-95a4071eeb34,,1.0,MakeoverMonday_2019_w17_Stephen Curry's Stadium Popcorn Rankings,MakeoverMonday_2019_w17_StephenCurrysStadiumPopcornRankings,,56.0,DASHBOARD,MakeoverMonday_2019_w17_StephenCurrysStadiumPopcornRankings/sheets/DASHBOARD,a4328cf9-7ba4-4288-bcb6-de87d6039ebd,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
322,True,True,True,True,False,True,True,False,4909035.0,775932.0,1554646817009.0,1554648468694.0,1554646817011.0,1669139151026.0,22703.0,MakeoverMonday_2019_w14_What_kind_of_waste_appears_on_UK_beaches,21d01744-b553-4cc9-9225-62de5e20d54b,,1.3,MakeoverMonday_2019_w14_What_kind_of_waste_appears_on_UK_beaches,MakeoverMonday_2019_w14_What_kind_of_waste_appears_on_UK_beaches,,156.0,Dashboard,MakeoverMonday_2019_w14_What_kind_of_waste_appears_on_UK_beaches/sheets/Dashboard,c466dfe4-cc31-40cc-bde4-1b027e51418b,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
323,True,True,True,True,False,True,True,False,4908949.0,775932.0,1554643604676.0,1554643710177.0,1554643604678.0,1669139129198.0,390947.0,WorkoutWednes_2019w14_Dynamic_Highlight,ba197a09-0dae-4bcd-8345-57af85a21cf4,,1.1,WorkoutWednes_2019w14_Dynamic_Highlight,WorkoutWednes_2019w14_Dynamic_Highlight,,122.0,Dashboard,WorkoutWednes_2019w14_Dynamic_Highlight/sheets/Dashboard,7d0ab014-e242-4ea5-8a2e-6bce1148ed24,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
324,True,True,True,True,False,True,True,False,4898590.0,775932.0,1554300572475.0,1554300572475.0,1554300572478.0,1669133082867.0,66878.0,WorkoutWednes_2019w13_Dynamic_View,81508e23-f0a3-492f-9a17-3fe630deac1e,,1.0,WorkoutWednes_2019w13_Dynamic_View,WorkoutWednes_2019w13_Dynamic_View,,96.0,Dashboard,WorkoutWednes_2019w13_Dynamic_View/sheets/Dashboard,3c64c012-bfa3-4fbe-b098-346db6712852,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
325,True,True,True,True,False,True,True,False,4869323.0,775932.0,1553437085345.0,1553437840801.0,1553437085348.0,1669123915224.0,12605.0,MakeoverMonday_2019_w13_Comsumer_Spending_by_Generation,94c0f6c7-0add-45a2-90ce-15fa07415b59,,1.2,MakeoverMonday_2019_w13_Comsumer_Spending_by_Generation,MakeoverMonday_2019_w13_Comsumer_Spending_by_Generation,,143.0,Dashboard,MakeoverMonday_2019_w13_Comsumer_Spending_by_Generation/sheets/Dashboard,3d1e5344-20df-4bcf-83ea-2cd632c0e5dc,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
326,True,True,True,True,False,True,True,False,4866541.0,775932.0,1553291661912.0,1553291661912.0,1553291661914.0,1669121961110.0,398279.0,WorkoutWednes_2019w12_Customer_Retention,8b3f59dd-b170-48a1-bb65-ab52e4ef547c,,1.0,WorkoutWednes_2019w12_Customer_Retention,WorkoutWednes_2019w12_Customer_Retention,,68.0,Dashboard,WorkoutWednes_2019w12_Customer_Retention/sheets/Dashboard,400f1aeb-38d3-4744-a621-cb19c9d1807b,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
327,True,True,True,True,False,True,True,False,4852751.0,775932.0,1552918774144.0,1553008176614.0,1552918774147.0,1669118538289.0,67836.0,MakeoverMonday_2019_w12_woman_leaders,4a4a6074-db6e-47a7-8317-9b0311c1f569,,2.2,MakeoverMonday_2019_w12_woman_leaders,MakeoverMonday_2019_w12_woman_leaders,,168.0,Dashboard,MakeoverMonday_2019_w12_woman_leaders/sheets/Dashboard,6ed12c1f-0ff2-4c67-9557-db76e70d7e64,yuta1985,Yuta Sakai,,2.0,[],,,2025/10/13 10:59:26
328,True,True,True,True,False,True,True,False,4850424.0,775932.0,1552837982754.0,1552837982754.0,1552837982757.0,1669117921006.0,393338.0,WorkoutWednes_2019w11,56f5ec7f-5a5e-4608-9831-e06883c5d798,,1.0,WorkoutWednes_2019w11,WorkoutWednes_2019w11,,67.0,Dashboard,WorkoutWednes_2019w11/sheets/Dashboard,7b808c91-fc7f-42d7-8b76-10af6965d300,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
329,True,True,True,True,False,True,True,False,4850310.0,775932.0,1552833641698.0,1552838114196.0,1552833641700.0,1669117896722.0,119220477.0,MakeoverMonday_2019_w11_Philadelphia_Real_Estate,76a1a709-77a9-496a-98cf-d7ac40cbafa1,,1.1,MakeoverMonday_2019_w11_Philadelphia_Real_Estate,MakeoverMonday_2019_w11_Philadelphia_Real_Estate,,65.0,Dashboard,MakeoverMonday_2019_w11_Philadelphia_Real_Estate/sheets/Dashboard,45ef2be4-1fab-4d89-b5a9-887fa64bfefe,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
330,True,True,True,True,False,True,True,False,4837738.0,775932.0,1552423339526.0,1552423507345.0,1552423339529.0,1669112683944.0,402218.0,WorkoutWednes_2019w10_How_Has_Our_Profit_Ratio_Changed_Nationally_r2,a1efd0a4-c48c-4a6f-8edd-4eadef5a56c2,,1.2,WorkoutWednes_2019w10_How_Has_Our_Profit_Ratio_Changed_Nationally_r2,WorkoutWednes_2019w10_How_Has_Our_Profit_Ratio_Changed_Nationally_r2,,62.0,Dashboard 1,WorkoutWednes_2019w10_How_Has_Our_Profit_Ratio_Changed_Nationally_r2/sheets/Dashboard1,8abcbdcb-9c3a-494c-b928-9a50869b5374,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
331,True,True,True,True,False,True,True,False,4835513.0,775932.0,1552369056780.0,1552369135593.0,1552369056783.0,1669110936564.0,457478.0,WorkoutWednes_2019w01_Sales_Drill_Down,071d7d05-7917-42da-b716-a8a4a9ed8223,,1.1,WorkoutWednes_2019w01_Sales_Drill_Down,WorkoutWednes_2019w01_Sales_Drill_Down,,81.0,Dashboard 1,WorkoutWednes_2019w01_Sales_Drill_Down/sheets/Dashboard1,738a73ce-8f8f-4477-a20e-745078b85cf3,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
332,True,True,True,True,False,True,True,False,4834400.0,775932.0,1552337660533.0,1552337961730.0,1552337660536.0,1669110543053.0,394942.0,WorkoutWednes_2019w10_How_Has_Our_Profit_Ratio_Changed_Nationally,4eef7618-f611-4b62-b5c3-fbc479cba15f,,1.1,WorkoutWednes_2019w10_How_Has_Our_Profit_Ratio_Changed_Nationally,WorkoutWednes_2019w10_How_Has_Our_Profit_Ratio_Changed_Nationally,,95.0,Dashboard 1,WorkoutWednes_2019w10_How_Has_Our_Profit_Ratio_Changed_Nationally/sheets/Dashboard1,19f06ca4-416a-4683-85d8-d264bea2b7a5,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
333,True,True,True,True,False,True,True,False,4814737.0,775932.0,1551712508755.0,1551712901203.0,1551712508758.0,1669105194029.0,355037.0,MakeoverMonday_2019_w10_Operation_Fistula ,344b5b98-6679-4665-abfb-c0b693d39de5,,1.2,MakeoverMonday_2019_w10_Operation_Fistula ,MakeoverMonday_2019_w10_Operation_Fistula,,67.0,Dashboard,MakeoverMonday_2019_w10_Operation_Fistula/sheets/Dashboard,ed7c8cc7-42bc-4443-837a-ba7f86a87ae3,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
334,True,True,True,True,False,True,True,False,4810787.0,775932.0,1551562451130.0,1551563814203.0,1551562451133.0,1669104245337.0,380770.0,WorkoutWednes_2019w09_remove_scrollbar_v2,49806c10-6ba9-426e-8623-2f282981587a,,1.3,WorkoutWednes_2019w09_remove_scrollbar_v2,WorkoutWednes_2019w09_remove_scrollbar_v2,,82.0,Dashboard,WorkoutWednes_2019w09_remove_scrollbar_v2/sheets/Dashboard,5499d7e4-11ba-431e-9986-73ffcde634dd,yuta1985,Yuta Sakai,,0.0,"[{'authorDisplayName': 'Miki Inoyama', 'authorProfileName': 'miki.inoyama', 'attributionUrl': 'https://public.tableau.com/profile/miki.inoyama#!/vizhome/WOW_W0920190227CanYouRemovetheScrollBar/1', 'workbookName': 'WOW_W09 20190227 Can You Remove the Scroll Bar', 'workbookRepoUrl': 'WOW_W0920190227CanYouRemovetheScrollBar', 'workbookViewName': '1'}]",,,2025/10/13 10:59:26
335,True,True,True,True,False,True,True,False,4809763.0,775932.0,1551504285460.0,1551504285460.0,1551504285463.0,1669102753909.0,381242.0,WorkoutWednes_2019w09_remove_scrollbar,41ca342e-23a3-4412-8de6-d0f17b5b1ab1,,1.0,WorkoutWednes_2019w09_remove_scrollbar,WorkoutWednes_2019w09_remove_scrollbar,,77.0,Dashboard,WorkoutWednes_2019w09_remove_scrollbar/sheets/Dashboard,8d1497ad-48e7-4804-800e-2c8a77aa36a1,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
336,True,True,True,True,False,True,True,False,4801716.0,775932.0,1551274928858.0,1551274944188.0,1551274928861.0,1669100577535.0,31359.0,MakeoverMonday_2019_w09_bicycles,0205a0f6-f10b-40ba-b91d-252c7711565e,,1.1,MakeoverMonday_2019_w09_bicycles,MakeoverMonday_2019_w09_bicycles,,119.0,Dashboard,MakeoverMonday_2019_w09_bicycles/sheets/Dashboard,c2759b9f-576c-420c-934a-0c94b7026a8f,yuta1985,Yuta Sakai,,1.0,[],,,2025/10/13 10:59:26
337,True,True,True,True,False,True,True,False,4792057.0,775932.0,1551016931273.0,1551016931273.0,1551016931275.0,1669098214112.0,383911.0,WorkoutWednes_2019w08_ParetoChart,b021abaa-68aa-4fac-8f77-4b93185d758e,,1.0,WorkoutWednes_2019w08_ParetoChart,WorkoutWednes_2019w08_ParetoChart,,76.0,Dashboard,WorkoutWednes_2019w08_ParetoChart/sheets/Dashboard,803f2519-9ff7-43f1-8d64-3e6ac7f551c0,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
338,True,True,True,True,False,True,True,False,4784800.0,775932.0,1550758508334.0,1551010103913.0,1550758508337.0,1669096346670.0,16401.0,WorkoutWednes_2019w07_valentinesday,366dea67-bab5-4be5-96a6-e075295952d7,,1.2,WorkoutWednes_2019w07_ValentinesDay,WorkoutWednes_2019w07_valentinesday,,72.0,Dashboard1,WorkoutWednes_2019w07_valentinesday/sheets/Dashboard1,86b9199a-cfa9-49ea-9d84-af6f0b569420,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
339,True,True,True,True,False,True,True,False,4772548.0,775932.0,1550412776350.0,1550412883713.0,1550412776354.0,1669090798083.0,23488.0,MakeoverMonday_2019_w08_wind_power,c6772b0d-01ae-437e-8267-68bb633d8ee1,,1.2,MakeoverMonday_2019_w08_wind_power,MakeoverMonday_2019_w08_wind_power,,99.0,Dashboard,MakeoverMonday_2019_w08_wind_power/sheets/Dashboard,c11cd4c6-3ede-4a3b-aab1-1f1eafb6de39,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
340,True,True,True,True,False,True,True,False,4770912.0,775932.0,1550329581065.0,1550329661998.0,1550329581068.0,1669090408696.0,23167.0,MakeoverMonday_2019_w07_Trump_Executive_Time_v2,44921152-794b-4740-8edf-e7ae811e2a7f,,1.1,MakeoverMonday_2019_w07_Trump_Executive_Time_v2,MakeoverMonday_2019_w07_Trump_Executive_Time_v2,,112.0,Dashboard,MakeoverMonday_2019_w07_Trump_Executive_Time_v2/sheets/Dashboard,b23a96f8-477f-4c17-ba0c-de60b60f1556,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
341,True,True,True,True,False,True,True,False,4770875.0,775932.0,1550327296533.0,1550327296533.0,1550327296537.0,1669090399169.0,23074.0,MakeoverMonday_2019_w07_Trump_Executive_Time,fc9f4f07-0e20-4bd1-8cf7-406d74b1e15a,,1.0,MakeoverMonday_2019_w07_Trump_Executive_Time,MakeoverMonday_2019_w07_Trump_Executive_Time,,100.0,Dashboard,MakeoverMonday_2019_w07_Trump_Executive_Time/sheets/Dashboard,50559038-1458-4396-88bf-b0df42bbf0c9,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
342,True,True,True,True,False,True,True,False,4747398.0,775932.0,1549551741999.0,1549722408473.0,1549551742001.0,1669082964920.0,380422.0,WorkoutWednes_2019w06,2ff2d1ba-d316-42c9-9386-bf7d4edcd5cd,,1.2,WorkoutWednesday_2019w06_Tree,WorkoutWednes_2019w06,,604.0,Dashboard,WorkoutWednes_2019w06/sheets/Dashboard,87fd3bf7-ea8f-4a94-8331-4ccf593d20a9,yuta1985,Yuta Sakai,,1.0,[],,,2025/10/13 10:59:26
343,True,True,True,True,False,True,True,False,4747247.0,775932.0,1549547397535.0,1549547397535.0,1549547397538.0,1669082933334.0,11107.0,MakeoverMonday_2019_w06_Comparing_China_and_USA,60658bc2-b52c-421f-99d3-acc1942b43be,,1.0,MakeoverMonday_2019_w06_Comparing_China_and_USA,MakeoverMonday_2019_w06_Comparing_China_and_USA,,85.0,Dashboard,MakeoverMonday_2019_w06_Comparing_China_and_USA/sheets/Dashboard,af0591cd-20c4-490c-96ce-07fba9f5baa3,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
